ID,Collection,Description,Units,Timeframe,Source
Bailey ecoregions,Bailey Ecoregions,Bailey Ecoregions Map of the Continents,Qualitative,,https://daac.ornl.gov/
,,,,,
,,,,,
,,,,,
Land cover 2000,Global Land Cover 2000 database. European Commission,Global and Regional Land Cover Maps 2000,Qualitative,,
 UMD Land cover,Advanced Very High Resolution Radiometer (AVHRR),UMD Land cover classification,Qualitative,,
 Distribution of Cultivation Intensity,Global Distribution of Cultivation Intensity,Global Distribution of Cultivation Intensity,Qualitative,,
,,,,,
Koppen-Geiger,Koppen-Geiger climate classification,World map of the Koppen-Geiger climate classification,Qualitative,,
,,,,,
Geological ages,USGS International Surface Geology,Geological ages based on the surface geology,,1960-2000,http://worldgrids.org/doku.php/wiki:geaisg3
Soil types,Global soil types (Zobler),Zobler's assessment of FAO soil units,,,
