Category	ID	Units	Description	Scoring	Reference				
"Atwell et. al, Nature 2010: Developmental"	Silique lenght at 22¡C	cm	Plants were grown at 22¡C with 16 hrs daylight. 	The average length of 4 siliques was measured for each accession after growth had concluded. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Flowering period	days	"Growth in greenhouse, 20¡C, 16hrs daylight4. "	Number of days between appearance of the first flower and the senescence of the last flower. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Life cycle period. 	days	"Growth in greenhouse, 20¡C, 16hrs daylight4. "	Number of days between germination and plant complete senescence. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Last flower senescence. 	days	"Growth in greenhouse, 20¡C, 16hrs daylight4. "	Number of days between germination and senescence of the last flower. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Maturation period. 	days	"Growth in greenhouse, 20¡C, 16hrs daylight4. "	Number of days between last flower senescence and complete plant senescence. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Reproduction period. 	days	"Growth in greenhouse, 20¡C, 16hrs daylight4. "	Number of days between the appearance of the first flower and the plant complete senescence. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to flowering time (FT) under Long Day (LD) in the absense of vernalization	days	"18¡C, 16 hrs daylight."	"Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to flowering time (FT) under Long Day (LD) and vernalization	days	"18¡C, 16 hrs daylight. vernalized (5 wks, 4¡C)"	"Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to flowering time (FT) under Short Day (SD) in the absense of vernalization	days	"18¡C, 16 hrs daylight."	"Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to flowering time (FT) under Short Day (SD) and vernalization	days	"18¡C, 16 hrs daylight. vernalized (5 wks, 4¡C)"	"Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to FT under LD in the absence of vernalization 	days	"23¡C, 16hrs daylight. Not vernalized. "	Number of days required for the bolt height to reach 5cm. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to FT under LD after 2 weeks of vernalization	days	"23¡C, 16hrs daylight. Vernalized for 2 wks at 5 _C, 8hrs daylight."	Number of days required for the bolt height to reach 5cm. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to FT under LD after 4 weeks of vernalization	days	"23¡C, 16hrs daylight. Vernalized for 4 wks at 5 _C, 8hrs daylight."	Number of days required for the bolt height to reach 5cm. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to FT under LD after 8 weeks of vernalization	days	"23¡C, 16hrs daylight. Vernalized for 8 wks at 5 _C, 8hrs daylight."	Number of days required for the bolt height to reach 5cm. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	FLC gene expression 	Relative expression	"Growth in greenhouse,20-22¡C, 16hrs daylight "	RNA was extracted from leaves after 4 wks of growth. FLC and FRI gene expression levels were determined by Northern hybridization quantified relative to _-TUBULIN expression. Data previously published5 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	FRI gene expression 	Relative expression	"Growth in greenhouse,20-22¡C, 16hrs daylight "	RNA was extracted from leaves after 4 wks of growth. FLC and FRI gene expression levels were determined by Northern hybridization quantified relative to _-TUBULIN expression. Data previously published5 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Flowering time (FT) at 10¡C	days	"10¡C, 16 hrs daylight"	"Plants were checked bi-weekly for presence of first buds, and the average flowering time and average leaf number of 4 plants of the same accession at each temperature were collected. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Flowering time (FT) at 16¡C	days	"16¡C, 16 hrs daylight"	"Plants were checked bi-weekly for presence of first buds, and the average flowering time and average leaf number of 4 plants of the same accession at each temperature were collected. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Flowering time (FT) at 22¡C	days	"22¡C, 16 hrs daylight"	"Plants were checked bi-weekly for presence of first buds, and the average flowering time and average leaf number of 4 plants of the same accession at each temperature were collected. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Leaf Number (LN) at 10¡C	count	"10¡C, 16 hrs daylight"	"Plants were checked bi-weekly for presence of first buds, and the average flowering time and average leaf number of 4 plants of the same accession at each temperature were collected. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Leaf Number (LN) at 16¡C	count	"16¡C, 16 hrs daylight"	"Plants were checked bi-weekly for presence of first buds, and the average flowering time and average leaf number of 4 plants of the same accession at each temperature were collected. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Leaf Number (LN) at 22¡C	count	"22¡C, 16 hrs daylight"	"Plants were checked bi-weekly for presence of first buds, and the average flowering time and average leaf number of 4 plants of the same accession at each temperature were collected. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Flowering time (FT) after 8 wks of vernalization (Greenhouse)	days	"20-22¡C, natural light from the middle of October 2002 till March 2003, vernalized for 8wks at 4¡C, 8hrs daylight "	Flowering time was scored as the number of days for the bolt to reach 5cm and leaf number counted as the number of rosette leaves and the number of cauline leaves. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Leaf Number (LN) after 8 wks of vernalization (Greenhouse)	count	"20-22¡C, natural light from the middle of October 2002 till March 2003, vernalized for 8wks at 4¡C, 8hrs daylight "	Flowering time was scored as the number of days for the bolt to reach 5cm and leaf number counted as the number of rosette leaves and the number of cauline leaves. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Flowering time (FT) in the absence of vernalization (Greenhouse)	days	"20-22¡C, natural light from the middle of October 2002 till March 2003"	Flowering time was scored as the number of days for the bolt to reach 5cm and leaf number counted as the number of rosette leaves and the number of cauline leaves. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Leaf Number (LN) in the absence of vernalization (Greenhouse)	count	"20-22¡C, natural light from the middle of October 2002 till March 2003"	Flowering time was scored as the number of days for the bolt to reach 5cm and leaf number counted as the number of rosette leaves and the number of cauline leaves. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to flowering of plants grown in the field. 	days	"Growth in field or greenhouse (20¡C, 16h daylight), started in October "	Flowering time was scored as the number of days between germination date and appearance of the first flower. The diameter at flowering date was the longest diameter of the plant measured on the day the first flower was observed 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Plant diameter at flowering (field). 	cm	"Growth in field or greenhouse (20¡C, 16h daylight), started in October "	Flowering time was scored as the number of days between germination date and appearance of the first flower. The diameter at flowering date was the longest diameter of the plant measured on the day the first flower was observed 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Flowering"	Days to flowering (greenhouse)	days	"Growth in field or greenhouse (20¡C, 16h daylight), started in October "	Flowering time was scored as the number of days between germination date and appearance of the first flower. The diameter at flowering date was the longest diameter of the plant measured on the day the first flower was observed 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	Trichome number Control	count	"20¡C, 12 hrs daylight. "	Measurements were collected from leaf disks removed from the 11th leaf of plants that had been treated with either 0.6 ml of a 0.45mM solution of jasmonic acid (Sigma J-2500) in water (JA) or 0.6ml of a water control (C). Trichome density was calculated as the trichome number per disk divided by the disk area. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	Trichome number JA	count	"20¡C, 12 hrs daylight. "	Measurements were collected from leaf disks removed from the 11th leaf of plants that had been treated with either 0.6 ml of a 0.45mM solution of jasmonic acid (Sigma J-2500) in water (JA) or 0.6ml of a water control (C). Trichome density was calculated as the trichome number per disk divided by the disk area. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	Aphid number 	count	"20¡C, 12 hrs daylight. "	"On day 25 of growth, two alate females of the common peach aphid, Myzus persicae, were placed on each of four plants of each of the 96 genotypes. Nine days later, the number of offspring produced by these aphids on each plant were recorded. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	Bacterial titers 	(CFU)	"20¡C, 12 hrs daylight. "	"Following inoculation into leaf tissues, the titers of bacteria were measured from hole-punched leaf disks ground in 200_L of 10 mM MgSO4 at 0 and 4 days post inoculation. Measurements were expressed as colony forming units per unit area and replicated in triplicate. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain As growth	(CFU)	"20¡C, 12 hrs daylight. "	In planta bacterial growth (number of CFU / leaf area) of the 5 P. viridiflava strains 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain As2 growth	(CFU)	"20¡C, 12 hrs daylight. "	In planta bacterial growth (number of CFU / leaf area) of the 5 P. viridiflava strains 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain At1 growth	(CFU)	"20¡C, 12 hrs daylight. "	In planta bacterial growth (number of CFU / leaf area) of the 5 P. viridiflava strains 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain Bs growth	(CFU)	"20¡C, 12 hrs daylight. "	In planta bacterial growth (number of CFU / leaf area) of the 5 P. viridiflava strains 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain As2 severity	(CFU)	"20¡C, 12 hrs daylight. "	"Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1."	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain At1 severity 	(CFU)	"20¡C, 12 hrs daylight. "	"Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1."	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain At2 severity	(CFU)	"20¡C, 12 hrs daylight. "	"Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1."	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Resistance"	P. viridiflava strain Bs severity	(CFU)	"20¡C, 12 hrs daylight. "	"Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1."	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
David Salt: Ionomics	As75	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Ca43	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Cd111	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Cd114	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Co59	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Cu65	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Fe56	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Fe57	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	K39	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Li7	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Mg25	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Mn55	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Mo98	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Ni60	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Na23	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	P31	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Rb85	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	S34	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Se82	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
David Salt: Ionomics	Zn66	(µg g-1 DW)	"19 to 22¡C, 10 h light/ 14 h dark"	After 5 weeks plants were non-destructively sampled by removing one or two leaves and the elemental composition of the tissue analyzed by Inductively Couple Plasma Mass Spectroscopy (ICP-MS)	Compilation of different ionomic studies by David Salk. See the details on AraPheno for details				
									
									
									
									
									
									
